CAS,MolecularWeight
21661-97-2,154.2493
55050-40-3,152.2334
542-46-1,250.4195
13019-22-2,156.2652
35194-30-0,154.2493
14436-32-9,170.2487
50816-18-7,198.3019
105-57-7,118.1742
75-07-0,44.0526
3390-12-3,102.1317
54484-73-0,174.2805
40910-49-4,226.3550
122-71-4,270.3661
100-06-1,150.1745
513-86-0,88.1051
98-86-2,120.1485
600-14-6,100.1158
22047-25-2,122.1246
79-78-7,232.3612
2051-78-7,128.1690
1866-31-5,188.2225
2705-87-5,196.2860
57856-81-2,212.3285
2179-57-9,146.274
142-19-8,170.2487
123-68-2,156.2221
4230-97-1,184.2753
7493-74-5,192.2112
1797-74-6,176.2118
2408-20-0,114.1424
592-88-1,114.209
100-86-7,150.2176
10094-34-5,220.3074
122-40-7,202.2921
101-85-9,204.3080
7492-44-6,188.2655
469-61-4,204.3511
10461-98-0,197.2756
502-61-4,204.3511
3691-12-1,204.3511
101-86-0,216.3187
25312-34-9,194.3132
127-41-3,192.2973
79-69-6,206.3239
7779-78-4,178.2707
127-51-5,206.3239
1205-17-0,192.2112
93-92-5,164.2011
98-85-1,122.1644
120-45-6,178.2277
101-39-3,146.1858
1504-55-8,148.2017
99-83-2,136.2340
80-56-8,136.2340
705-73-7,164.2441
80-26-2,196.2860
71-41-0,88.1482
540-18-1,158.2380
3487-99-8,218.2915
638-49-3,116.1583
540-07-8,186.2912
2445-72-9,158.2380
638-25-5,214.3443
2050-08-0,208.2536
2173-56-0,172.2646
104-46-1,148.2017
100-66-3,108.1378
1331-83-5,180.2005
105-13-5,138.1638
122-91-8,166.1739
7549-33-9,194.2271
100-52-7,106.1219
1125-88-8,152.1904
2568-25-4,164.2011
2186-92-7,182.2164
637-69-4,134.1751
65-85-0,122.1213
51115-63-0,208.2536
22717-57-3,166.1739
89-71-4,150.1745
119-53-9,212.2439
100-47-0,103.1213
119-61-9,182.2179
95-16-9,135.186
56423-40-6,192.2542
140-11-4,150.1745
2550-26-7,148.2017
100-51-6,108.1378
120-51-4,212.2439
103-37-7,178.2277
103-41-3,238.2812
104-57-4,136.1479
6938-45-0,206.2808
122-73-6,178.2707
103-28-6,178.2277
103-38-8,192.2542
140-25-0,290.4403
100-53-8,124.203
538-86-3,122.1644
10276-85-4,234.3340
102-16-9,226.2705
122-63-4,164.2011
118-58-1,228.2433
10361-39-4,192.2542
622-78-6,149.213
35044-68-9,192.2973
87-44-5,204.3511
18794-84-8,204.3511
88-84-6,204.3511
22029-76-1,194.3132
14901-07-6,192.2973
22030-19-9,236.3499
1123-85-9,136.1910
93-18-5,172.2231
93-04-9,158.1965
514-51-2,204.3511
555-10-2,136.2340
127-91-3,136.2340
60066-88-8,218.3346
